brand,post_url,post_timestamp,comment_timestamp,topic,sentiment,comment_text
Telkomsel,https://www.instagram.com/p/DacrLjFHYSq/,2026-07-06T10:27:00.000Z,2026-07-09T06:15:43.000Z,Other,negative,Keluarkan gaji kami indihome keluarkan hak gaji kami
Telkomsel,https://www.instagram.com/p/DacrLjFHYSq/,2026-07-06T10:27:00.000Z,2026-07-09T02:40:54.000Z,Customer Service,negative,Ini Telkomsel emang jual data pengguna yah? Atau emang kerjasama sama pinjaman online ? Masih aja anj banyak yang call nawarin pinjaman. Ini nomor baru padahal… 👏👏👏👏👏 menyala telkomsel
Telkomsel,https://www.instagram.com/p/DacrLjFHYSq/,2026-07-06T10:27:00.000Z,2026-07-07T05:41:03.000Z,Package & Pricing,negative,"paket internet 1 hari tapi kenyataannya cuma 12 jam. Tidak ada keterangan internet hanya bisa dipakai 12 jam atau dari jam 00 sampai jam 12:00. Sisa kuota internet masih banyak jadi nggak kepake. Dimana aturan paket internetnya hanya berlaku jam segitu ??? Tunjukan !!!! Itu aturan utk paket bolanya bukan internetnya. Bikin paket nggak jelas banget, tapi dijual ?????"
Telkomsel,https://www.instagram.com/p/DacrLjFHYSq/,2026-07-06T10:27:00.000Z,2026-07-06T16:45:47.000Z,Network Experience,negative,Makin parah sinyal lu sumpahh
Telkomsel,https://www.instagram.com/p/DacrLjFHYSq/,2026-07-06T10:27:00.000Z,2026-07-06T14:11:47.000Z,Customer Service,negative,"Percuma gembar gembor tapi tiket berhenti berlangganan dari mei tidak kelar-kelar, cupu kalian itu bumn payah"
Telkomsel,https://www.instagram.com/p/DacrLjFHYSq/,2026-07-06T10:27:00.000Z,2026-07-06T13:39:15.000Z,Corporate & Brand,positive,Terbaik 👏🤩
Telkomsel,https://www.instagram.com/p/DacrLjFHYSq/,2026-07-06T10:27:00.000Z,2026-07-06T12:23:43.000Z,Package & Pricing,negative,"Beli pulsa ga pernah dipake dipotong terus tiap hari, aneh bnget"
Telkomsel,https://www.instagram.com/p/DacrLjFHYSq/,2026-07-06T10:27:00.000Z,2026-07-06T11:45:29.000Z,Other,negative,"Gaji kami para sales SF tolong di keluarkan, kami menuntut hak kami pak/buk"
Telkomsel,https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,2026-07-10T08:23:16.000Z,Network Experience,negative,"Wah, parah ni sinyal di area Kecamatan Afulu, Kab. Nias Utara gak bisa dipake, gk berfungsi. @telkomindonesia"
Telkomsel,https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,2026-07-10T07:53:29.000Z,Other,neutral,Done
Telkomsel,https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,2026-07-09T22:23:50.000Z,Customer Service,negative,Gmn min??? Layanan mu mengecewakan.
Telkomsel,https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,2026-07-09T22:23:11.000Z,Package & Pricing,negative,Gmn Min? Tiba2 ada tagihan???
Telkomsel,https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,2026-07-09T22:17:25.000Z,Package & Pricing,negative,Gmn ini min. Tiba2 ada tagihan kartu halo. Parah amat layanan mu. 😢😢
Telkomsel,https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,2026-07-09T15:18:33.000Z,Network Experience,negative,SINYALLLLL TOLONGGGGG.. SAYA MAU KERJAAAA
Telkomsel,https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,2026-07-09T15:13:34.000Z,Corporate & Brand,negative,@prabowo pak tolong telkom di audit pak
Telkomsel,https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,2026-07-09T02:39:33.000Z,Customer Service,negative,Ini Telkomsel emang jual data pengguna yah? Atau emang kerjasama sama pinjaman online ? Masih aja anj banyak yang call nawarin pinjaman. Ini nomor baru padahal… 👏👏👏👏👏 menyala telkomsel
Telkomsel,https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,2026-07-09T01:41:26.000Z,Customer Service,neutral,Memangnya untuk buat laporan keluhan via dm ig ada permintaan kode otp min? Kok baru kali ini ya diminta otp
Telkomsel,https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,2026-07-08T04:28:34.000Z,Customer Service,neutral,Min tolonf baca DM @telkomsel
Telkomsel,https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,2026-07-07T21:45:18.000Z,App & Account,negative,Kenapa kode otp saya lama sekali yang dikirim dan hampir satu Minggu kode otp tidak kunjung di kirirm
Telkomsel,https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,2026-07-07T13:27:34.000Z,Network Experience,negative,"Parah bgt jaringanya busuk seharian ga bisa di pake ilang2an mulu, mode pesawat berkali² berharap sinyalnya datang ttp zonk"
